TransactionID,Merchant,Amount,Timestamp,Location,IsFraud
fc478442-bdf1-415a-abc0-0ca18b1b2566,Ganesh-Grover,962.29,2023-12-07 22:18:27,Tiruchirappalli,True
7de8c1b5-eb03-47fa-970b-5801a504e317,"Bava, Chopra and Chaudhari",82.1,2023-12-25 20:00:33,Nagpur,False
e8450dc7-c82f-4830-b58d-32ca28939624,"Sibal, Lata and Sastry",651.16,2023-12-18 07:09:55,Raebareli,True
601091d3-d870-49b1-a63c-72051c05a4f6,Shroff Ltd,405.41,2023-12-08 07:27:36,Tinsukia,False
980a619f-6219-4350-b813-ce2ab7e092a1,"Thakur, Gopal and Borah",312.14,2023-12-15 15:32:19,Dhanbad,False
1b4b8931-ca89-4ebc-890c-d023f0008220,Manne-Keer,612.88,2023-12-06 18:14:39,Khandwa,False
93e1bb38-8613-49f9-905b-0e584239e1fb,Kapadia-Srinivasan,408.38,2023-12-11 03:13:22,Chapra,False
1f5866aa-15a9-4089-aa28-85edccdfac89,"Behl, Kapur and Hayer",570.27,2023-12-22 11:39:19,Mirzapur,True
f75009f8-9ec7-41c8-b2b9-f592182e6290,Barad and Sons,337.48,2024-01-03 05:30:55,Thiruvananthapuram,False
8d9d6c06-6ed0-41f2-aa31-c19ee3f133fb,Khalsa-Chakraborty,824.11,2023-12-21 07:31:29,Nadiad,False
800a12a1-0c92-4dff-9517-c9269fc2638e,Ravi-Garde,505.47,2023-12-22 18:24:34,Panchkula,True
48da5ffc-88ae-40a8-9ef3-d411ccbf5e4f,Arora-Korpal,766.8,2023-12-31 18:06:27,Pondicherry,False
64a5b4de-3562-4cec-904a-4bdb669ce387,Agate Ltd,501.76,2023-12-12 11:27:07,Gaya,True
3758ea4b-c289-4751-8832-c632b0187912,Basak Inc,79.27,2023-12-08 14:43:06,Karnal,False
06df6058-e811-40b9-bd34-3406dde4f435,Sidhu-Shan,166.4,2023-12-23 14:11:52,Gangtok,True
e9ba031d-59d6-4118-af49-a9bfaa0c6d07,"Bhatt, Warrior and Som",682.35,2023-12-23 04:11:21,Sambhal,False
7c6b467b-8e0d-47b5-9519-9fdf5e49f09e,"Madan, Goda and Doshi",376.82,2023-12-30 03:44:40,Giridih,True
b94e6f06-f982-40a8-af9a-9ff78a3c5e73,Khanna PLC,987.36,2023-12-09 23:02:40,Panvel,False
d730a5c7-8a41-4ff3-98d2-6bc8e7aaa3f7,"Sandal, Zacharia and Dass",676.07,2023-12-13 06:45:11,Vijayawada,False
c157dac0-e1f2-45e2-97e0-3bb15106e0df,"Arora, Arora and Lalla",232.39,2023-12-23 08:59:00,Saharanpur,False
daa96910-9192-473e-80fd-027987d57fa2,Kaur-Manne,697.06,2023-12-21 10:46:10,Dehri,True
46b2e7e2-edfe-4271-aaad-5d8034b7f64d,"Saha, Sane and Brahmbhatt",633.47,2024-01-01 03:17:38,Chittoor,False
dba343a8-e81e-4d7c-96f4-63201919bf5a,"Sahni, Shanker and Ratti",240.46,2023-12-14 13:49:16,Ahmednagar,False
194c0ac1-bd24-4d0b-a37d-959f88d09cc5,"Bala, Hayer and Gaba",117.02,2023-12-30 00:09:22,Kumbakonam,False
